Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-06-03,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,93,155,49%,74,19.07,3.17,128,,,
2020-06-04,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,175,194,46%,90,20.63,5.15,240,,,
2020-06-04,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,734,204,50%,82,20.96,20.95,1008,,,
2020-06-05,On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,429,159,50%,76,19.49,14.61,590,,,
2020-06-06,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,166,185,46%,88,20.22,5.05,228,,,
2020-06-06,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,543,201,50%,82,21.17,15.87,746,,,
2020-06-06,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,93,156,51%,69,19.20,3.20,128,,,
2020-06-07,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,115,191,45%,94,20.72,3.45,157,,,
2020-06-07,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,930,227,52%,85,22.39,26.05,1277,,,
2020-06-07,On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,148,165,51%,74,19.79,4.95,204,,,
2020-06-09,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,170,189,45%,91,20.50,5.12,233,,,
2020-06-09,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,583,216,49%,85,21.26,15.94,801,,,
2020-06-09,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,90,151,51%,70,19.09,3.18,124,,,
2020-06-10,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,121,203,46%,95,21.21,3.53,167,,,
2020-06-10,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,1004,223,51%,88,22.23,27.78,1380,,,
2020-06-11,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,170,189,46%,91,20.84,5.20,234,,,
2020-06-11,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,873,243,51%,89,22.82,22.81,1200,,,
2020-06-13,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,185,205,46%,93,21.25,5.30,253,,,
2020-06-13,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,822,251,54%,83,22.87,21.49,1128,,,
2020-06-14,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,115,192,45%,94,20.71,3.43,158,,,
2020-06-14,On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,1170,217,51%,86,21.98,32.96,1608,,,
2020-06-15,On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,462,171,50%,80,20.11,15.08,634,,,
2020-06-16,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,177,197,47%,90,20.83,5.19,243,,,
2020-06-16,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,607,225,50%,84,21.32,15.97,834,,,
2020-06-16,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,98,164,49%,77,19.73,3.28,135,,,
2020-06-17,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,118,198,45%,94,21.00,3.50,163,,,
2020-06-17,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,928,231,52%,87,22.60,25.90,1274,,,
2020-06-17,On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,45,216,50%,86,21.65,1.26,62,,,
2020-06-18,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,185,206,46%,96,21.30,5.32,254,,,
2020-06-18,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,839,265,55%,86,23.75,21.56,1151,,,
2020-06-19,On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,456,163,57%,62,19.69,14.81,627,,,
2020-06-20,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,177,197,45%,94,20.89,5.21,244,,,
2020-06-20,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,846,235,51%,87,22.38,22.38,1163,,,
2020-06-20,On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,0,0,0%,0,0,0,0,,,
2020-06-20,On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,149,166,52%,73,19.85,4.96,205,,,
